VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
,02/03/2021 07:10:00 AM,02/03/2021 07:24:00 AM,,,179,229,,3.72,13.08,0,0,4,0,,0.3,20.13,,,
1,02/03/2021 07:11:14 AM,02/03/2021 07:30:10 AM,N,1,74,262,1,2.9,14,2.75,0.5,2,0,,0.3,19.55,1,1,2.75
,02/03/2021 07:13:00 AM,02/03/2021 07:43:00 AM,,,234,159,,9.02,32.54,2.75,0,0,0,,0.3,35.59,,,
2,02/03/2021 07:14:27 AM,02/03/2021 07:47:57 AM,N,5,95,237,3,8.65,10,0,0,0,0,,0.3,13.05,2,2,2.75
,02/03/2021 07:15:00 AM,02/03/2021 07:33:00 AM,,,41,213,,5.98,22.53,5.5,0,0,0,,0.3,28.33,,,
,02/03/2021 07:16:00 AM,02/03/2021 08:02:00 AM,,,29,140,,16.87,48.56,2.75,0,0,6.12,,0.3,57.73,,,
,02/03/2021 07:17:00 AM,02/03/2021 07:40:00 AM,,,216,175,,7.59,32.85,0,0,7.29,0,,0.3,40.44,,,
,02/03/2021 07:18:00 AM,02/03/2021 08:01:00 AM,,,14,112,,10.61,33.25,0,0,6.67,0,,0.3,40.22,,,
2,02/03/2021 07:18:18 AM,02/03/2021 07:23:37 AM,N,1,75,74,1,1.06,6,0,0.5,0.01,0,,0.3,6.81,1,1,0
2,02/03/2021 07:18:44 AM,02/03/2021 07:26:22 AM,N,1,41,116,1,1.21,7,0,0.5,1.56,0,,0.3,9.36,1,1,0
,02/03/2021 07:19:00 AM,02/03/2021 07:38:00 AM,,,159,94,,3.59,18.52,2.75,0,0,0,,0.3,21.57,,,
2,02/03/2021 07:19:46 AM,02/03/2021 07:37:21 AM,N,1,75,42,1,3.07,13.5,0,0.5,0,0,,0.3,14.3,1,1,0
1,02/03/2021 07:20:04 AM,02/03/2021 07:37:23 AM,N,1,116,143,1,4.6,16,2.75,0.5,0,0,,0.3,19.55,2,1,2.75
2,02/03/2021 07:20:36 AM,02/03/2021 07:38:10 AM,N,1,74,236,1,1.55,11.5,0,0.5,2.46,0,,0.3,14.76,1,1,0
1,02/03/2021 07:20:55 AM,02/03/2021 07:24:27 AM,N,1,75,74,1,0.9,5,0,0.5,0,0,,0.3,5.8,2,1,0
,02/03/2021 07:21:00 AM,02/03/2021 08:23:00 AM,,,130,141,,13.44,46.75,2.75,0,0,0,,0.3,49.8,,,
1,02/03/2021 07:21:28 AM,02/03/2021 07:30:42 AM,N,1,74,166,1,1.6,8.5,0,0.5,1.4,0,,0.3,10.7,1,1,0
,02/03/2021 07:22:00 AM,02/03/2021 07:56:00 AM,,,77,122,,11.61,33.06,2.75,0,0,0,,0.3,36.11,,,
2,02/03/2021 07:22:26 AM,02/03/2021 07:30:44 AM,N,1,41,42,1,1.19,7.5,0,0.5,0,0,,0.3,8.3,2,1,0
,02/03/2021 07:23:00 AM,02/03/2021 07:31:00 AM,,,116,41,,1.8,15.45,2.75,0,0,0,,0.3,18.5,,,
,02/03/2021 07:23:00 AM,02/03/2021 08:19:00 AM,,,39,236,,19.79,36.93,2.75,0,0,6.12,,0.3,46.1,,,
,02/03/2021 07:24:00 AM,02/03/2021 08:01:00 AM,,,28,226,,10.04,35.92,2.75,0,0,0,,0.3,38.97,,,
2,02/03/2021 07:25:24 AM,02/03/2021 07:47:35 AM,N,1,74,82,1,6.84,23,0,0.5,8.98,6.12,,0.3,38.9,1,1,0
,02/03/2021 07:27:00 AM,02/03/2021 07:42:00 AM,,,208,242,,3.97,20.04,2.75,0,0,0,,0.3,23.09,,,
1,02/03/2021 07:27:03 AM,02/03/2021 07:39:41 AM,N,1,74,43,1,1.4,9.5,0,0.5,2.05,0,,0.3,12.35,1,1,0
2,02/03/2021 07:27:26 AM,02/03/2021 07:37:17 AM,N,1,263,233,1,2.88,10.5,0,0.5,4.22,0,,0.3,18.27,1,1,2.75
,02/03/2021 07:28:00 AM,02/03/2021 07:40:00 AM,,,82,173,,1.62,15.89,2.75,0,0,0,,0.3,18.94,,,
,02/03/2021 07:28:00 AM,02/03/2021 07:44:00 AM,,,213,242,,4.19,22.79,2.75,0,0,0,,0.3,25.84,,,
2,02/03/2021 07:28:06 AM,02/03/2021 07:49:47 AM,N,1,74,262,1,2.81,15,0,0.5,3.71,0,,0.3,22.26,1,1,2.75
,02/03/2021 07:29:00 AM,02/03/2021 07:49:00 AM,,,126,174,,5.74,23.09,2.75,0,0,0,,0.3,26.14,,,
,02/03/2021 07:29:00 AM,02/03/2021 07:55:00 AM,,,35,130,,8.9,49.35,2.75,0,0,0,,0.3,52.4,,,
,02/03/2021 07:29:00 AM,02/03/2021 07:47:00 AM,,,259,208,,5.9,27.49,2.75,0,0,0,,0.3,30.54,,,
2,02/03/2021 07:29:02 AM,02/03/2021 07:40:25 AM,N,1,75,151,1,2.21,10,0,0.5,2.16,0,,0.3,12.96,1,1,0
2,02/03/2021 07:29:24 AM,02/03/2021 07:59:13 AM,N,1,33,163,1,7.69,26.5,0,0.5,6.01,0,,0.3,36.06,1,1,2.75
2,02/03/2021 07:29:26 AM,02/03/2021 07:38:32 AM,N,1,122,191,1,1.79,8.5,0,0.5,0,0,,0.3,9.3,2,1,0
,02/03/2021 07:30:00 AM,02/03/2021 07:54:00 AM,,,76,205,,10.02,33.06,2.75,0,0,0,,0.3,36.11,,,
,02/03/2021 07:30:00 AM,02/03/2021 08:01:00 AM,,,250,141,,8.26,25.65,2.75,0,0,6.12,,0.3,34.82,,,
2,02/03/2021 07:30:13 AM,02/03/2021 07:43:15 AM,N,1,74,236,1,1.69,9.5,0,0.5,3.26,0,,0.3,16.31,1,1,2.75
,02/03/2021 07:31:00 AM,02/03/2021 08:28:00 AM,,,225,164,,10.53,28.26,2.75,0,0,0,,0.3,31.31,,,
1,02/03/2021 07:31:05 AM,02/03/2021 08:18:11 AM,N,1,42,4,1,0,24.2,0,0.5,0,0,,0.3,25,1,1,0
2,02/03/2021 07:31:30 AM,02/03/2021 07:44:18 AM,N,1,41,161,1,3.41,12.5,0,0.5,4,0,,0.3,20.05,1,1,2.75
,02/03/2021 07:32:00 AM,02/03/2021 08:02:00 AM,,,76,252,,12.4,39.87,2.75,0,0,0,,0.3,42.92,,,
1,02/03/2021 07:32:51 AM,02/03/2021 07:45:40 AM,N,1,74,166,1,1.3,9.5,0,0.5,2.55,0,,0.3,12.85,1,1,0
2,02/03/2021 07:33:08 AM,02/03/2021 07:42:09 AM,N,1,42,168,1,1.98,9,0,0.5,0,0,,0.3,9.8,2,1,0
2,02/03/2021 07:34:56 AM,02/03/2021 07:54:17 AM,N,1,74,262,1,2.75,13.5,0,0.5,3.41,0,,0.3,20.46,1,1,2.75
1,02/03/2021 07:34:58 AM,02/03/2021 07:57:11 AM,N,1,166,141,1,3.8,16.5,2.75,0.5,4,0,,0.3,24.05,1,1,2.75
,02/03/2021 07:35:00 AM,02/03/2021 07:52:00 AM,,,69,136,,3.97,23.21,2.75,0,0,0,,0.3,26.26,,,
2,02/03/2021 07:35:45 AM,02/03/2021 07:45:07 AM,N,1,127,200,1,2.28,9,0,0.5,1.96,0,,0.3,11.76,1,1,0
1,02/03/2021 07:35:51 AM,02/03/2021 07:43:18 AM,N,1,166,41,1,1.4,7,0,0.5,1.56,0,,0.3,9.36,1,1,0
,02/03/2021 07:36:00 AM,02/03/2021 07:44:00 AM,,,41,24,,1.11,7,0,0,1.6,0,,0.3,8.9,,,
,02/03/2021 07:36:00 AM,02/03/2021 08:06:00 AM,,,119,244,,4.43,19.66,2.75,0,0,0,,0.3,22.71,,,
2,02/03/2021 07:36:02 AM,02/03/2021 08:52:18 AM,N,5,129,229,1,13.43,29.2,0,0.5,0,0,,0.3,32.75,2,1,2.75
2,02/03/2021 07:36:20 AM,02/03/2021 07:47:23 AM,N,1,41,230,1,3.13,11,0,0.5,2.91,0,,0.3,17.46,1,1,2.75
2,02/03/2021 07:36:36 AM,02/03/2021 07:49:32 AM,N,1,70,134,1,4.49,15.5,0,0.5,2,0,,0.3,18.3,1,1,0
2,02/03/2021 07:38:15 AM,02/03/2021 07:49:37 AM,N,1,41,43,1,1.69,9,0,0.5,2.51,0,,0.3,15.06,1,1,2.75
1,02/03/2021 07:39:18 AM,02/03/2021 07:44:09 AM,N,1,75,74,1,0.9,5.5,0,0.5,0,0,,0.3,6.3,2,1,0
,02/03/2021 07:40:00 AM,02/03/2021 07:48:00 AM,,,168,126,,1.68,19.24,2.75,0,0,0,,0.3,22.29,,,
,02/03/2021 07:41:00 AM,02/03/2021 08:00:00 AM,,,17,35,,3.51,21.6,0,0,0,0,,0.3,21.9,,,
,02/03/2021 07:41:00 AM,02/03/2021 07:49:00 AM,,,152,243,,2.99,10.03,0,0,2.04,0,,0.3,12.37,,,
,02/03/2021 07:42:00 AM,02/03/2021 07:48:00 AM,,,81,81,,1,13.62,2.75,0,0,0,,0.3,16.67,,,
1,02/03/2021 07:43:35 AM,02/03/2021 07:50:24 AM,N,1,75,74,1,1.2,6.5,0,0.5,1.45,0,,0.3,8.75,1,1,0
2,02/03/2021 07:45:13 AM,02/03/2021 07:49:17 AM,N,1,75,74,1,0.95,5,0,0.5,0.6,0,,0.3,6.4,1,1,0
1,02/03/2021 07:46:20 AM,02/03/2021 07:55:17 AM,N,1,95,135,1,1.9,8.5,0,0.5,2.3,0,,0.3,11.6,1,1,0
2,02/03/2021 07:46:30 AM,02/03/2021 08:05:15 AM,N,1,193,193,1,3.72,15.5,0,0.5,2,0,,0.3,18.3,1,1,0
,02/03/2021 07:47:00 AM,02/03/2021 08:02:00 AM,,,235,248,,4.1,14.31,0,0,3.21,0,,0.3,17.82,,,
,02/03/2021 07:47:00 AM,02/03/2021 08:30:00 AM,,,143,89,,10.55,33.63,4.09,0,0,6.12,,0.3,44.14,,,
2,02/03/2021 07:47:36 AM,02/03/2021 08:06:11 AM,N,1,74,43,1,1.43,12,0,0.5,2.56,0,,0.3,15.36,1,1,0
,02/03/2021 07:48:00 AM,02/03/2021 08:24:00 AM,,,213,205,,15.16,46.26,2.75,0,0,6.12,,0.3,55.43,,,
,02/03/2021 07:49:00 AM,02/03/2021 08:06:00 AM,,,74,75,,1.68,16.58,2.75,0,0,0,,0.3,19.63,,,
,02/03/2021 07:50:00 AM,02/03/2021 07:58:00 AM,,,235,220,,2.24,21.77,2.75,0,0,0,,0.3,24.82,,,
2,02/03/2021 07:51:45 AM,02/03/2021 08:05:13 AM,N,1,41,43,1,1.82,10,0,0.5,2.17,0,,0.3,15.72,1,1,2.75
2,02/03/2021 07:52:17 AM,02/03/2021 08:02:12 AM,N,1,74,75,1,1.17,7.5,0,0.5,1.66,0,,0.3,9.96,1,1,0
1,02/03/2021 07:52:34 AM,02/03/2021 08:08:27 AM,N,1,74,75,1,1.8,11,0,0.5,0,0,,0.3,11.8,1,1,0
2,02/03/2021 07:52:47 AM,02/03/2021 08:14:59 AM,N,1,74,236,1,2.28,14,0,0.5,3.51,0,,0.3,21.06,1,1,2.75
,02/03/2021 07:53:00 AM,02/03/2021 08:08:00 AM,,,69,127,,4.31,23.37,2.75,0,0,0,,0.3,26.42,,,
